user_id,recency,frequency,r_score,f_score,avg_r,avg_f,user_class
1,2017-12-03,55,100,40,60.0,60.0,普通用户
100,2017-12-03,98,100,80,60.0,60.0,价值用户
1000,2017-12-03,81,100,60,60.0,60.0,普通用户
1000001,2017-12-03,35,100,40,60.0,60.0,普通用户
1000004,2017-12-03,129,100,80,60.0,60.0,价值用户
1000011,2017-12-03,101,100,80,60.0,60.0,价值用户
100002,2017-12-03,92,100,60,60.0,60.0,普通用户
1000027,2017-12-03,19,100,20,60.0,60.0,普通用户
1000028,2017-12-03,148,100,80,60.0,60.0,价值用户
1000037,2017-12-03,88,100,60,60.0,60.0,普通用户
1000040,2017-12-03,466,100,100,60.0,60.0,价值用户
1000045,2017-12-03,111,100,80,60.0,60.0,价值用户
1000054,2017-12-03,45,100,40,60.0,60.0,普通用户
1000059,2017-12-03,279,100,100,60.0,60.0,价值用户
1000060,2017-12-03,46,100,40,60.0,60.0,普通用户
1000061,2017-12-03,40,100,40,60.0,60.0,普通用户
1000070,2017-12-03,98,100,80,60.0,60.0,价值用户
1000082,2017-12-03,119,100,80,60.0,60.0,价值用户
1000084,2017-12-03,247,100,100,60.0,60.0,价值用户
1000085,2017-12-03,120,100,80,60.0,60.0,价值用户
100009,2017-12-03,26,100,20,60.0,60.0,普通用户
1000093,2017-12-03,65,100,60,60.0,60.0,普通用户
1000095,2017-12-03,104,100,80,60.0,60.0,价值用户
10001,2017-12-03,21,100,20,60.0,60.0,普通用户
100010,2017-12-03,186,100,100,60.0,60.0,价值用户
1000103,2017-12-03,55,100,40,60.0,60.0,普通用户
1000105,2017-12-03,18,100,20,60.0,60.0,普通用户
1000106,2017-12-03,65,100,60,60.0,60.0,普通用户
1000107,2017-12-03,98,100,80,60.0,60.0,价值用户
1000112,2017-12-02,12,20,20,60.0,60.0,普通用户
1000114,2017-12-03,270,100,100,60.0,60.0,价值用户
1000115,2017-12-03,44,100,40,60.0,60.0,普通用户
1000134,2017-12-03,32,100,20,60.0,60.0,普通用户
1000135,2017-12-03,104,100,80,60.0,60.0,价值用户
1000139,2017-12-03,84,100,60,60.0,60.0,普通用户
1000151,2017-12-03,15,100,20,60.0,60.0,普通用户
1000154,2017-12-03,156,100,80,60.0,60.0,价值用户
1000159,2017-12-03,156,100,80,60.0,60.0,价值用户
1000161,2017-12-03,39,100,40,60.0,60.0,普通用户
1000163,2017-12-03,44,100,40,60.0,60.0,普通用户
1000165,2017-12-03,159,100,100,60.0,60.0,价值用户
1000169,2017-12-03,79,100,60,60.0,60.0,普通用户
1000172,2017-12-03,119,100,80,60.0,60.0,价值用户
1000186,2017-12-03,96,100,80,60.0,60.0,价值用户
1000187,2017-12-03,101,100,80,60.0,60.0,价值用户
1000191,2017-12-03,48,100,40,60.0,60.0,普通用户
1000192,2017-12-03,27,100,20,60.0,60.0,普通用户
1000194,2017-12-03,108,100,80,60.0,60.0,价值用户
1000204,2017-12-03,51,100,40,60.0,60.0,普通用户
1000205,2017-12-03,138,100,80,60.0,60.0,价值用户
1000209,2017-12-03,130,100,80,60.0,60.0,价值用户
100021,2017-12-03,22,100,20,60.0,60.0,普通用户
1000210,2017-12-03,15,100,20,60.0,60.0,普通用户
1000218,2017-12-03,25,100,20,60.0,60.0,普通用户
1000222,2017-12-03,89,100,60,60.0,60.0,普通用户
1000228,2017-12-03,420,100,100,60.0,60.0,价值用户
1000236,2017-12-03,129,100,80,60.0,60.0,价值用户
1000251,2017-12-03,247,100,100,60.0,60.0,价值用户
1000263,2017-12-03,126,100,80,60.0,60.0,价值用户
1000269,2017-12-03,15,100,20,60.0,60.0,普通用户
1000274,2017-12-03,78,100,60,60.0,60.0,普通用户
1000282,2017-12-03,55,100,40,60.0,60.0,普通用户
1000283,2017-12-03,45,100,40,60.0,60.0,普通用户
1000291,2017-12-03,54,100,40,60.0,60.0,普通用户
1000296,2017-12-03,48,100,40,60.0,60.0,普通用户
100030,2017-12-03,164,100,100,60.0,60.0,价值用户
1000307,2017-12-03,91,100,60,60.0,60.0,普通用户
1000313,2017-12-03,103,100,80,60.0,60.0,价值用户
1000315,2017-12-03,141,100,80,60.0,60.0,价值用户
1000317,2017-12-03,70,100,60,60.0,60.0,普通用户
1000319,2017-12-03,39,100,40,60.0,60.0,普通用户
1000321,2017-12-03,131,100,80,60.0,60.0,价值用户
1000326,2017-12-03,84,100,60,60.0,60.0,普通用户
1000328,2017-12-03,39,100,40,60.0,60.0,普通用户
1000331,2017-12-03,43,100,40,60.0,60.0,普通用户
1000332,2017-12-03,156,100,80,60.0,60.0,价值用户
1000335,2017-12-03,67,100,60,60.0,60.0,普通用户
1000349,2017-12-03,245,100,100,60.0,60.0,价值用户
1000364,2017-12-03,181,100,100,60.0,60.0,价值用户
1000374,2017-12-03,110,100,80,60.0,60.0,价值用户
100038,2017-12-03,49,100,40,60.0,60.0,普通用户
1000393,2017-12-03,18,100,20,60.0,60.0,普通用户
1000398,2017-12-03,368,100,100,60.0,60.0,价值用户
1000405,2017-12-03,28,100,20,60.0,60.0,普通用户
1000408,2017-12-03,237,100,100,60.0,60.0,价值用户
1000417,2017-12-03,456,100,100,60.0,60.0,价值用户
1000418,2017-12-03,15,100,20,60.0,60.0,普通用户
1000420,2017-12-03,160,100,100,60.0,60.0,价值用户
1000423,2017-12-03,31,100,20,60.0,60.0,普通用户
1000429,2017-12-03,80,100,60,60.0,60.0,普通用户
1000431,2017-12-03,59,100,40,60.0,60.0,普通用户
1000436,2017-12-03,463,100,100,60.0,60.0,价值用户
1000438,2017-12-03,40,100,40,60.0,60.0,普通用户
1000451,2017-12-03,42,100,40,60.0,60.0,普通用户
1000455,2017-12-03,203,100,100,60.0,60.0,价值用户
1000462,2017-12-03,221,100,100,60.0,60.0,价值用户
1000483,2017-12-03,20,100,20,60.0,60.0,普通用户
1000485,2017-12-03,45,100,40,60.0,60.0,普通用户
1000488,2017-12-03,214,100,100,60.0,60.0,价值用户
1000490,2017-12-03,151,100,80,60.0,60.0,价值用户
1000497,2017-12-03,109,100,80,60.0,60.0,价值用户
1000504,2017-12-03,32,100,20,60.0,60.0,普通用户
1000505,2017-12-03,66,100,60,60.0,60.0,普通用户
1000511,2017-12-03,33,100,20,60.0,60.0,普通用户
1000519,2017-12-03,151,100,80,60.0,60.0,价值用户
1000520,2017-12-03,171,100,100,60.0,60.0,价值用户
1000521,2017-12-03,187,100,100,60.0,60.0,价值用户
1000529,2017-12-03,17,100,20,60.0,60.0,普通用户
1000538,2017-12-03,41,100,40,60.0,60.0,普通用户
1000539,2017-12-03,144,100,80,60.0,60.0,价值用户
1000541,2017-12-03,152,100,80,60.0,60.0,价值用户
1000546,2017-12-03,112,100,80,60.0,60.0,价值用户
1000565,2017-12-03,54,100,40,60.0,60.0,普通用户
1000570,2017-12-03,18,100,20,60.0,60.0,普通用户
1000572,2017-12-02,104,20,80,60.0,60.0,活跃用户
1000573,2017-12-03,96,100,80,60.0,60.0,价值用户
1000581,2017-12-03,47,100,40,60.0,60.0,普通用户
1000588,2017-12-03,41,100,40,60.0,60.0,普通用户
1000589,2017-12-03,44,100,40,60.0,60.0,普通用户
100059,2017-12-03,29,100,20,60.0,60.0,普通用户
1000590,2017-12-03,87,100,60,60.0,60.0,普通用户
1000596,2017-12-03,145,100,80,60.0,60.0,价值用户
1000610,2017-12-03,163,100,100,60.0,60.0,价值用户
1000615,2017-12-03,175,100,100,60.0,60.0,价值用户
1000620,2017-12-03,22,100,20,60.0,60.0,普通用户
1000625,2017-12-03,39,100,40,60.0,60.0,普通用户
1000630,2017-12-03,89,100,60,60.0,60.0,普通用户
1000632,2017-12-03,69,100,60,60.0,60.0,普通用户
1000633,2017-12-03,253,100,100,60.0,60.0,价值用户
1000636,2017-12-03,219,100,100,60.0,60.0,价值用户
1000641,2017-12-03,137,100,80,60.0,60.0,价值用户
1000647,2017-12-03,73,100,60,60.0,60.0,普通用户
1000650,2017-12-03,17,100,20,60.0,60.0,普通用户
1000659,2017-12-03,51,100,40,60.0,60.0,普通用户
1000664,2017-12-03,539,100,100,60.0,60.0,价值用户
1000667,2017-12-03,29,100,20,60.0,60.0,普通用户
1000676,2017-12-03,40,100,40,60.0,60.0,普通用户
100068,2017-12-03,168,100,100,60.0,60.0,价值用户
1000684,2017-12-03,179,100,100,60.0,60.0,价值用户
1000686,2017-12-03,62,100,60,60.0,60.0,普通用户
1000688,2017-12-03,79,100,60,60.0,60.0,普通用户
1000694,2017-12-03,15,100,20,60.0,60.0,普通用户
1000696,2017-12-03,11,100,20,60.0,60.0,普通用户
1000703,2017-12-03,57,100,40,60.0,60.0,普通用户
1000712,2017-12-03,153,100,80,60.0,60.0,价值用户
1000715,2017-12-03,104,100,80,60.0,60.0,价值用户
1000718,2017-12-03,504,100,100,60.0,60.0,价值用户
1000719,2017-12-03,50,100,40,60.0,60.0,普通用户
1000722,2017-12-03,23,100,20,60.0,60.0,普通用户
1000723,2017-12-03,301,100,100,60.0,60.0,价值用户
1000726,2017-12-03,55,100,40,60.0,60.0,普通用户
1000727,2017-12-03,71,100,60,60.0,60.0,普通用户
1000732,2017-12-03,167,100,100,60.0,60.0,价值用户
1000735,2017-12-03,70,100,60,60.0,60.0,普通用户
1000738,2017-12-03,98,100,80,60.0,60.0,价值用户
1000746,2017-12-03,173,100,100,60.0,60.0,价值用户
1000749,2017-12-03,291,100,100,60.0,60.0,价值用户
100075,2017-12-03,202,100,100,60.0,60.0,价值用户
1000751,2017-12-03,118,100,80,60.0,60.0,价值用户
1000757,2017-12-03,217,100,100,60.0,60.0,价值用户
1000758,2017-12-03,34,100,40,60.0,60.0,普通用户
1000760,2017-12-03,31,100,20,60.0,60.0,普通用户
1000771,2017-12-03,128,100,80,60.0,60.0,价值用户
1000772,2017-12-03,5,100,20,60.0,60.0,普通用户
1000775,2017-12-03,70,100,60,60.0,60.0,普通用户
1000789,2017-12-03,6,100,20,60.0,60.0,普通用户
1000792,2017-12-03,111,100,80,60.0,60.0,价值用户
10008,2017-12-02,56,20,40,60.0,60.0,普通用户
1000801,2017-12-03,67,100,60,60.0,60.0,普通用户
1000803,2017-12-03,98,100,80,60.0,60.0,价值用户
1000807,2017-12-03,170,100,100,60.0,60.0,价值用户
1000810,2017-12-03,39,100,40,60.0,60.0,普通用户
1000811,2017-12-03,105,100,80,60.0,60.0,价值用户
100083,2017-12-03,85,100,60,60.0,60.0,普通用户
1000832,2017-12-03,76,100,60,60.0,60.0,普通用户
